Labels IRF_1us 
0.00 0.000E+0 
0.244141 0.000E+0 
0.488281 0.000E+0 
0.732422 0.000E+0 
0.976563 0.000E+0 
1.220703 0.000E+0 
1.464844 0.000E+0 
1.708984 0.000E+0 
1.953125 0.000E+0 
2.197266 0.000E+0 
2.441406 0.000E+0 
2.685547 0.000E+0 
2.929688 0.000E+0 
3.173828 0.000E+0 
3.417969 0.000E+0 
3.662109 0.000E+0 
3.906250 0.000E+0 
4.150391 0.000E+0 
4.394531 0.000E+0 
4.638672 0.000E+0 
4.882813 0.000E+0 
5.126953 0.000E+0 
5.371094 0.000E+0 
5.615234 0.000E+0 
5.859375 0.000E+0 
6.103516 0.000E+0 
6.347656 0.000E+0 
6.591797 0.000E+0 
6.835938 0.000E+0 
7.080078 0.000E+0 
7.324219 0.000E+0 
7.568359 0.000E+0 
7.81250 0.000E+0 
8.056641 0.000E+0 
8.300781 0.000E+0 
8.544922 0.000E+0 
8.789063 0.000E+0 
9.033203 0.000E+0 
9.277344 0.000E+0 
9.521484 0.000E+0 
9.765625 0.000E+0 
10.009766 0.000E+0 
10.253906 0.000E+0 
10.498047 0.000E+0 
10.742188 0.000E+0 
10.986328 0.000E+0 
11.230469 0.000E+0 
11.474609 0.000E+0 
11.718750 0.000E+0 
11.962891 0.000E+0 
12.207031 0.000E+0 
12.451172 0.000E+0 
12.695313 0.000E+0 
12.939453 0.000E+0 
13.183594 0.000E+0 
13.427734 0.000E+0 
13.671875 0.000E+0 
13.916016 0.000E+0 
14.160156 0.000E+0 
14.40430 0.000E+0 
14.648438 0.000E+0 
14.892578 0.000E+0 
15.136719 0.000E+0 
15.380859 0.000E+0 
15.6250 0.000E+0 
15.869141 0.000E+0 
16.113281 0.000E+0 
16.357422 0.000E+0 
16.601563 0.000E+0 
16.84570 0.000E+0 
17.089844 0.000E+0 
17.333984 0.000E+0 
17.578125 0.000E+0 
17.822266 0.000E+0 
18.066406 0.000E+0 
18.310547 0.000E+0 
18.554688 0.000E+0 
18.798828 0.000E+0 
19.042969 0.000E+0 
19.287109 0.000E+0 
19.531250 0.000E+0 
19.775391 0.000E+0 
20.019531 0.000E+0 
20.263672 0.000E+0 
20.507813 0.000E+0 
20.751953 0.000E+0 
20.996094 0.000E+0 
21.240234 0.000E+0 
21.484375 0.000E+0 
21.728516 0.000E+0 
21.972656 0.000E+0 
22.21680 0.000E+0 
22.460938 0.000E+0 
22.705078 0.000E+0 
22.949219 0.000E+0 
23.193359 0.000E+0 
23.43750 0.000E+0 
23.681641 0.000E+0 
23.925781 0.000E+0 
24.169922 0.000E+0 
24.414063 0.000E+0 
24.65820 0.000E+0 
24.902344 0.000E+0 
25.146484 0.000E+0 
25.390625 0.000E+0 
25.634766 0.000E+0 
25.878906 0.000E+0 
26.123047 0.000E+0 
26.367188 0.000E+0 
26.611328 0.000E+0 
26.855469 0.000E+0 
27.099609 0.000E+0 
27.343750 0.000E+0 
27.587891 0.000E+0 
27.832031 0.000E+0 
28.076172 0.000E+0 
28.320313 0.000E+0 
28.564453 0.000E+0 
28.808594 0.000E+0 
29.052734 0.000E+0 
29.296875 0.000E+0 
29.541016 0.000E+0 
29.785156 0.000E+0 
30.02930 0.000E+0 
30.273438 0.000E+0 
30.517578 0.000E+0 
30.761719 0.000E+0 
31.005859 0.000E+0 
31.250 0.000E+0 
31.494141 0.000E+0 
31.738281 0.000E+0 
